run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min
49,25,5,3,1,2.5,155,0.94,0.6666666666666666,0.2733333333333333,0.9792,0.7745777777777777,0.20462222222222226,0.9768281952563822,0.7798638046385711,0.19696439061781112,0.781462879954302,0.7533333333333333,0.8295111111111112,0.8454775629869243,0.22666666666666668,0.2083555555555554,0.1944122620370501,0.7461795231292132
49,26,5,3,1,2.6,155,0.94,0.6666666666666666,0.2733333333333333,0.9792,0.7738666666666667,0.20533333333333326,0.9768281952563822,0.7805177820736183,0.19631041318276388,0.7947014221483281,0.7933333333333333,0.8693333333333334,0.8729162294971777,0.17999999999999994,0.204088888888889,0.20556405182793647,0.4899751502099241
49,27,5,3,1,2.7,155,0.94,0.68,0.2599999999999999,0.992,0.7726222222222221,0.2193777777777779,0.9922934472934474,0.7793405871965733,0.21295286009687409,0.8102282479382797,0.74,0.8376888888888888,0.8508011754924361,0.23333333333333328,0.2108444444444445,0.22840011898804724,0.4900381512954696
49,28,5,3,1,2.8,155,0.94,0.6666666666666666,0.2733333333333333,0.992,0.7708444444444444,0.22115555555555555,0.9922934472934474,0.7786876362158485,0.2136058110775989,0.8266219041831475,0.7933333333333333,0.8613333333333335,0.8743203789919334,0.24,0.20871111111111118,0.21164204828031785,0.5355179632306131
49,29,5,3,1,2.9,155,0.94,0.68,0.2599999999999999,0.992,0.7696,0.22240000000000004,0.9922934472934474,0.7754427327360466,0.2168507145574008,0.8437833857514824,0.78,0.8545777777777779,0.8430165305484142,0.2533333333333333,0.2353777777777778,0.23634567709363596,0.567768119866232
50,0,5,3,1,0.0,155,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
50,1,5,3,1,0.1,155,0.82,0.76,0.05999999999999994,0.9072,0.8474666666666666,0.059733333333333416,0.8944131365581075,0.8651472927064291,0.029265843851678408,0.123295858352298,0.7733333333333333,0.8410666666666666,0.8575523854364286,0.1266666666666667,0.1299555555555556,0.12498864115823127,0.07841321525464184
50,2,5,3,1,0.2,155,0.8,0.7133333333333334,0.08666666666666667,0.9136,0.8097777777777778,0.10382222222222215,0.9060567946710648,0.8331109507327834,0.07294584393828141,0.25807941908466,0.7866666666666666,0.8597333333333333,0.8613487169743805,0.17999999999999994,0.12035555555555555,0.11518461752665032,0.13596836074038632
50,3,5,3,1,0.3,155,0.82,0.72,0.09999999999999998,0.9152,0.8161777777777778,0.09902222222222223,0.905870337442654,0.8386040579554178,0.06726627948723618,0.2624522469089199,0.8,0.8737777777777778,0.8727748992588428,0.1266666666666667,0.1543111111111113,0.12397371231013365,0.18664248640263142
50,4,5,3,1,0.4,155,0.8,0.7466666666666667,0.053333333333333344,0.9168000000000001,0.8288000000000001,0.08799999999999997,0.9060123516233574,0.851217371811445,0.05479497981191239,0.2532453741842647,0.76,0.8545777777777778,0.8584276518306599,0.1466666666666666,0.14346666666666674,0.11107373804969933,0.30950462946746754
50,5,5,3,1,0.5,155,0.82,0.7333333333333333,0.08666666666666667,0.9136,0.8273777777777779,0.08622222222222209,0.9003504880524834,0.8493730585271783,0.05097742952530515,0.2562470811948842,0.8133333333333334,0.8794666666666666,0.8704483343361118,0.1266666666666666,0.136,0.11754029943235755,0.3154422263221307
50,6,5,3,1,0.6,155,0.84,0.74,0.09999999999999998,0.92,0.8256,0.09440000000000004,0.9067659561229305,0.8472504247798975,0.059515531343033,0.27733031098416727,0.8,0.8796444444444445,0.8720419331736713,0.16666666666666663,0.15893333333333337,0.12413345753763638,0.15453018493647186
50,7,5,3,1,0.7,155,0.86,0.7466666666666667,0.11333333333333329,0.9264000000000001,0.8195555555555556,0.10684444444444452,0.9164451769021513,0.8388885650843452,0.07755661181780615,0.3074829752286178,0.7933333333333333,0.8748444444444445,0.870675753450803,0.14666666666666672,0.1744000000000001,0.10039809135088351,0.1979845867096665
