seed,run,split,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi
43,1,1,2,5,3,1,0.2,31,0.875,0.7733333333333333,0.10166666666666668,0.9267676767676768,0.8823084789471344,0.04445919782054242,0.9266357491998102,0.8884525451545587,0.03818320404525144,0.24055493220276558,134.98747235085932,12.393990173227504
43,1,1,3,5,3,1,0.3,31,0.9,0.7733333333333333,0.1266666666666667,0.9393939393939394,0.8864879285047351,0.052906010889204325,0.9370342076931883,0.8979073147114145,0.03912689298177385,0.2395244897486155,132.48712973563784,10.05640480358199
43,1,1,4,5,3,1,0.4,31,0.9,0.77,0.13,0.9444444444444444,0.886443466275399,0.05800097816904537,0.943509214168195,0.8956318300025721,0.04787738416562293,0.24690730603714653,111.99825842512769,9.276721699228098
43,1,1,5,5,3,1,0.5,31,0.9,0.78,0.12,0.946969696969697,0.8850206749366414,0.061949022033055634,0.9480546687136495,0.8926034236941688,0.05545124501948073,0.2604988547433239,102.93124247761597,8.651158093755042
43,1,1,6,5,3,1,0.6,31,0.9,0.7866666666666666,0.1133333333333334,0.9545454545454546,0.8821750922591258,0.07237036228632876,0.9582342153764498,0.8892998807880177,0.06893433458843212,0.27486836002560633,96.22452988132255,8.232220905689895
43,1,1,7,5,3,1,0.7,31,0.9,0.7833333333333333,0.1166666666666667,0.9621212121212122,0.8820861678004535,0.0800350443207587,0.9659401059770771,0.8890199575284984,0.07692014844857875,0.2823792705536975,92.16643808048252,7.8900592335664275
43,1,1,8,5,3,1,0.8,31,0.9,0.7833333333333333,0.1166666666666667,0.9671717171717171,0.8815526210484192,0.08561909612329788,0.9711545884642869,0.8880502346561887,0.08310435380809822,0.2952748984836241,95.14155152878567,7.4043808182367545
43,1,1,9,5,3,1,0.9,31,0.9,0.7866666666666666,0.1133333333333334,0.9722222222222223,0.8796852074162999,0.09253701480592247,0.9745795034702296,0.8854381059537303,0.0891413975164993,0.30974311103032803,97.89641168103475,6.964045137915412
43,1,1,10,5,3,1,1.0,31,0.9,0.7866666666666666,0.1133333333333334,0.9722222222222223,0.8789293495175847,0.0932928727046376,0.9745795034702296,0.8848877645872772,0.08969173888295234,0.3176991852191323,96.5034950280602,6.703634740724426
43,1,1,11,5,3,1,1.1,31,0.925,0.7733333333333333,0.15166666666666673,0.9722222222222223,0.8768396247387844,0.09538259748343791,0.9745795034702296,0.882896637724992,0.09168286574523754,0.330038647399725,96.50720698023451,6.420755872000342
43,1,1,12,5,3,1,1.2,31,0.925,0.7766666666666666,0.14833333333333343,0.9696969696969697,0.874038504290605,0.09565846540636469,0.9713327502234763,0.8797077686301644,0.0916249815933119,0.344337926977647,94.68872032235689,6.213528272793441
43,1,1,13,5,3,1,1.3,31,0.925,0.7733333333333333,0.15166666666666673,0.98989898989899,0.8722155528878218,0.11768343701116812,0.9924793388429752,0.878277142167899,0.11420219667507625,0.3519915966267303,92.31279725600616,6.053487130566527
43,1,1,14,5,3,1,1.4,31,0.925,0.77,0.15500000000000003,0.98989898989899,0.8722600151171579,0.11763897478183205,0.9924793388429752,0.8786754318438044,0.11380390699917087,0.3527817092671789,87.39594521021954,6.0074601280229
43,1,1,15,5,3,1,1.5,31,0.925,0.7733333333333333,0.15166666666666673,0.98989898989899,0.8719043172824684,0.11799467261652152,0.9924793388429752,0.8780570555954104,0.11442228324756487,0.3548017754157731,83.90956894589348,5.945129805013798
43,1,1,16,5,3,1,1.6,31,0.925,0.7733333333333333,0.15166666666666673,0.98989898989899,0.871548619447779,0.118350370451211,0.9924793388429752,0.8781529796709373,0.11432635917203793,0.3581622840889439,81.51602586583866,5.865768033450141
43,1,1,17,5,3,1,1.7,31,0.925,0.7733333333333333,0.15166666666666673,0.98989898989899,0.8706593748610555,0.11923961503793445,0.9924793388429752,0.87749648115185,0.11498285769112526,0.3628936078948508,79.9945222727676,5.768789681483767
