run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean
1,20,5,3,1,2.0,31,0.94,0.8066666666666666,0.1333333333333333,0.9792000000000001,0.8664888888888889,0.1127111111111112,0.9744612029893899,0.8245025780952813,0.1499586248941086,0.3503790810859847,101.04349475294231,8.071696585371896,0.82,0.9056,0.8901812783169374,0.94,0.976,0.9739273405555274,0.17999999999999994,0.1644444444444444,0.2448049811049643,0.2878775911094505,426.0897574683135,155.3266788187495,297.6108363430321,26.670645560085656,11.298121026166111,17.588074987730895
1,21,5,3,1,2.1,31,0.94,0.8066666666666666,0.1333333333333333,0.9792000000000001,0.8640000000000001,0.11519999999999997,0.9744612029893899,0.8190617804590359,0.155399422530354,0.3518951675014628,98.81162770727036,8.076227834643843,0.84,0.8906666666666667,0.8806601628740477,0.94,0.9872,0.9883716475095787,0.17999999999999994,0.1724444444444443,0.22369741058663473,0.2563272149163689,427.168626266578,169.16416196837892,285.8870815750847,24.424329985218314,11.497025306414741,17.473273567121403
1,22,5,3,1,2.2,31,0.94,0.8,0.1399999999999999,0.976,0.8645333333333333,0.11146666666666671,0.9701271370553239,0.8247376759247187,0.14538946113060525,0.35476141330237043,96.46465578222426,7.9026475836352805,0.84,0.8970666666666667,0.8892453019706229,0.92,0.9663999999999999,0.9646305647010305,0.18000000000000005,0.1637333333333334,0.24849366897892744,0.49214824524883616,398.91340501661944,196.32242983694277,282.62433872749125,39.58574455873801,12.412198135790618,20.509553684454445
1,23,5,3,1,2.3,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8643555555555557,0.11324444444444437,0.9729842799124668,0.8294192696957261,0.14356501021674073,0.3564880661281826,95.2423559146679,7.8114141648789,0.8,0.8833777777777778,0.874828849482883,0.9,0.9680000000000001,0.9661866575453533,0.18000000000000005,0.19395555555555555,0.23082862476569888,0.5098767354402325,421.95389986590203,180.67387140892424,265.4929042444704,38.53511659388852,12.580908668170185,20.887302878168416
1,24,5,3,1,2.4,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8647111111111112,0.11288888888888882,0.9729842799124668,0.8315335852382023,0.14145069467426452,0.35699014785554417,94.65727867812994,7.784781267562035,0.7933333333333333,0.8919111111111111,0.882487724093824,0.94,0.968,0.9743151915872814,0.22666666666666657,0.1690666666666666,0.19541243210067338,0.42172940853435004,390.91144013308326,124.735573357744,273.84403519787554,28.228151076431043,11.264097994785839,17.79331564240424
1,25,5,3,1,2.5,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8647111111111111,0.11288888888888893,0.9729842799124668,0.8327173242537338,0.14026695565873304,0.35874373101695733,94.7295459840264,7.763770258502407,0.8,0.8775111111111111,0.883636766296256,0.94,0.9776,0.9784159960177123,0.20000000000000007,0.1406222222222221,0.1898655343402592,0.5043530503160656,387.0718160609265,129.9475483364373,245.9386581024931,31.866784788096016,11.386060160458634,19.392931118009628
1,26,5,3,1,2.6,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8650666666666667,0.11253333333333337,0.9729842799124668,0.8375356656849922,0.13544861422747467,0.35978800464971283,95.75257908936644,7.67356102788604,0.8133333333333334,0.8897777777777778,0.8813421971295965,0.94,0.9808,0.9798700253217417,0.20000000000000007,0.1996444444444444,0.22487943764988327,0.3447403259484878,337.04185310255656,163.53350663791437,264.6776345962285,29.119740616234765,9.61396813416546,19.49578342444415
1,27,5,3,1,2.7,31,0.94,0.7866666666666666,0.15333333333333332,0.9792000000000001,0.8664888888888889,0.1127111111111112,0.9756509465791335,0.8393797664858986,0.1362711800932349,0.3616197567830418,98.02085729076086,7.569589742770514,0.8266666666666667,0.8935111111111111,0.8891243042677172,0.92,0.9792000000000001,0.9825913978494625,0.22000000000000008,0.17120000000000002,0.1993441829208541,0.5166302479930602,373.2793351974815,139.3076571128215,233.95464719779176,30.979891444475697,11.323210040827382,19.44637194867477
1,28,5,3,1,2.8,31,0.94,0.78,0.15999999999999992,0.9808,0.866311111111111,0.11448888888888897,0.9781509465791335,0.8406784986126505,0.13747244796648295,0.3648802382694566,101.13769808042768,7.484037538422587,0.7866666666666666,0.9111111111111111,0.9085025990207751,0.92,0.9776,0.9798649021229666,0.22666666666666668,0.18133333333333335,0.2849907183803353,0.34661937403786214,341.54764838523676,86.47960047178593,205.89053415873536,32.5147430338122,11.804194252563317,17.739093038367116
1,29,5,3,1,2.9,31,0.94,0.7733333333333333,0.16666666666666663,0.9808,0.8643555555555557,0.11644444444444435,0.9781509465791335,0.8391208580395922,0.13903008853954124,0.3689494345194845,103.54685749525677,7.413304810175276,0.8266666666666667,0.9009777777777779,0.9073071284458313,0.96,0.984,0.981052371080558,0.21999999999999997,0.16071111111111114,0.1889757728979904,0.42843903522325677,287.59269284875194,146.32834824843752,214.38682005434535,31.915130862950903,9.56062437532237,17.206725916956866
